benchmark,RevTerm result,RevTerm time,LoAT result,LoAT time,AProVE result,AProVE time,Ultimate result,Ultimate time,VeryMax result,VeryMax time
2Nested_false-termination.c,NO,0.216,NO,2.32586,NO,6.42496,NO,5.39183,NO,20.9682
2Nested_true-termination.c,MAYBE,,MAYBE,,YES,2.26208,YES,7.46978,YES,0.159274
4NestedWith3Variables_true-termination.c,MAYBE,,MAYBE,,YES,10.2678,YES,17.6055,MAYBE,
aaron2_true-termination.c,MAYBE,,MAYBE,,YES,2.04908,YES,5.74931,YES,0.0368339
aaron3_true-termination.c,MAYBE,,MAYBE,,YES,5.01154,YES,9.80325,YES,0.916287
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c,MAYBE,,MAYBE,,YES,3.42322,YES,6.92198,YES,1.63364
AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c,MAYBE,,MAYBE,,YES,11.5294,YES,8.74991,YES,0.23124
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,MAYBE,,MAYBE,,YES,7.47001,YES,7.05192,YES,0.179751
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c,MAYBE,,MAYBE,,YES,2.3056,YES,5.79421,YES,0.037459
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,MAYBE,,MAYBE,,YES,2.37731,YES,17.337,YES,0.0301719
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c,MAYBE,,MAYBE,,YES,3.48692,YES,8.90818,YES,0.189722
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c,MAYBE,,MAYBE,,YES,2.56152,YES,6.84302,YES,0.047204
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c,MAYBE,,MAYBE,,YES,3.69469,MAYBE,,YES,0.382858
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c,MAYBE,,MAYBE,,YES,3.68742,YES,6.35553,YES,0.174454
AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c,MAYBE,,MAYBE,,YES,1.99676,YES,5.13727,YES,0.02608
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,MAYBE,,MAYBE,,YES,3.418,YES,19.8743,YES,0.263754
AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c,MAYBE,,MAYBE,,YES,2.20483,YES,5.55511,YES,0.03532
AliasDarteFeautrierGonnord-SAS2010-random2d_true-termination.c,MAYBE,,MAYBE,,YES,3.98945,YES,5.39935,YES,0.616752
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,MAYBE,,MAYBE,,YES,9.46163,YES,18.8208,YES,0.0731771
AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,MAYBE,,MAYBE,,YES,3.7088,YES,7.24583,YES,0.277401
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c,MAYBE,,MAYBE,,YES,5.35906,YES,7.01251,YES,0.0622011
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,MAYBE,,MAYBE,,YES,2.41787,YES,6.18119,YES,0.042261
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c,MAYBE,,MAYBE,,YES,3.27384,YES,6.80878,YES,0.0663449
AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c,MAYBE,,MAYBE,,YES,2.01476,YES,17.5048,YES,0.030059
AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,MAYBE,,MAYBE,,YES,2.41372,YES,7.93931,YES,0.067165
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c,MAYBE,,MAYBE,,YES,2.5324,YES,5.73872,YES,0.038762
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c,MAYBE,,MAYBE,,YES,4.20204,YES,6.79526,YES,0.072941
AlternDiv.c,NO,0.183,NO,2.33421,NO,3.82557,NO,5.95242,NO,9.48773
AlternDivWide.c,MAYBE,,NO,4.02056,NO,7.72044,NO,7.02335,NO,11.9869
AlternDivWidening.c,NO,6.075,NO,4.10774,NO,10.6128,NO,7.06681,NO,21.6972
AlternKonv.c,NO,2.291,NO,3.68445,NO,6.01093,NO,5.83346,MAYBE,
Avery-FLOPS2006-Table1_true-termination.c,MAYBE,,MAYBE,,YES,2.32882,YES,5.97163,YES,0.0368521
Bangalore_false-termination.c,NO,0.191,NO,2.16754,NO,2.94717,NO,4.71492,NO,4.24482
Bangalore_true-termination.c,MAYBE,,MAYBE,,YES,3.42994,YES,5.51795,YES,0.047546
Bangalore_v2_false-termination.c,NO,0.192,NO,2.20967,NO,3.49701,NO,4.69523,NO,4.30482
Bangalore_v3_false-termination.c,NO,0.167,NO,2.38792,NO,3.37665,NO,4.62333,NO,4.29269
Bangalore_v4_true-termination.c,MAYBE,,MAYBE,,YES,2.41892,YES,6.05841,YES,0.0475451
Ben-Amram-LMCS2010-Ex2.3_true-termination.c,MAYBE,,MAYBE,,YES,4.33197,YES,12.6362,YES,0.0848451
Benghazi_nondet_true-termination.c,MAYBE,,MAYBE,,YES,3.78176,YES,9.32073,YES,2.6333
Benghazi_true-termination.c,MAYBE,,MAYBE,,YES,7.68742,YES,9.15339,YES,0.067723
BradleyMannaSipma-CAV2005-Fig1_true-termination.c,MAYBE,,MAYBE,,YES,3.53571,YES,8.93064,YES,0.0903159
BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c,MAYBE,0.246,NO,3.3344,NO,12.9729,NO,5.10721,NO,4.7137
BradleyMannaSipma-ICALP2005-Fig1_true-termination.c,MAYBE,,MAYBE,,YES,8.47441,YES,18.5933,YES,3.33993
BrockschmidtCookFuhs-CAV2013-Fig1_true-termination.c,MAYBE,,MAYBE,,YES,2.24988,YES,6.5967,YES,0.0376929
BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c,MAYBE,,MAYBE,,YES,15.212,YES,7.60172,YES,0.069656
BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c,MAYBE,,MAYBE,,YES,3.43487,YES,5.67281,YES,0.043585
Cairo_nondet_false-termination.c,NO,0.167,NO,2.0506,NO,3.56629,NO,5.34681,NO,8.4004
Cairo_step2_false-termination.c,NO,0.597,MAYBE,,NO,3.48315,NO,5.60195,MAYBE,
Cairo_true-termination.c,MAYBE,,MAYBE,,YES,8.23318,YES,5.73375,YES,0.032076
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron1_true-termination.c,MAYBE,,MAYBE,,YES,10.4878,YES,8.21688,YES,0.0701581
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c,MAYBE,,MAYBE,,YES,12.7953,MAYBE,,MAYBE,
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c,MAYBE,,MAYBE,,YES,25.9595,YES,11.8634,YES,0.579304
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,MAYBE,,MAYBE,,YES,14.1047,YES,6.40833,YES,0.044802
ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,MAYBE,,MAYBE,,YES,2.34166,YES,5.73851,YES,0.0361901
ChawdharyCookGulwaniSagivYang-ESOP2008-random2d_true-termination.c,MAYBE,,MAYBE,,YES,4.07181,YES,5.52837,YES,0.064815
ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c,NO,0.161,NO,2.81516,NO,3.23828,NO,4.67558,NO,4.2459
ChenFlurMukhopadhyay-SAS2012-Ex1.01_true-termination.c,MAYBE,,MAYBE,,YES,2.11114,MAYBE,,MAYBE,
ChenFlurMukhopadhyay-SAS2012-Ex1.02_true-termination.c,MAYBE,,MAYBE,,YES,1.96926,YES,16.5236,YES,0.0304199
