name,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,Best Time(s),Best Time(ms),Best Config,,part1,part2,part1-bclt,part2-bclt,bclt,part1-mathsat,part2-mathsat,mathsat,par1-z3,part2-z3,z3
2Nested_false-termination.c,part1-2-1-bclt,270,part1-2-1-z3,555,part1-2-1-mathsat,296,part1-2-2-bclt,593,part1-2-2-z3,43056,part1-2-2-mathsat,1082,part1-2-3-bclt,4084,part1-2-3-mathsat,10373,part1-3-1-bclt,269,part1-3-1-mathsat,744,part1-3-2-bclt,920,part1-3-2-mathsat,1627,part1-3-3-bclt,31568,part2-1-2-bclt,5844,part2-1-2-z3,5633,part2-1-2-mathsat,5682,part2-1-3-bclt,6205,part2-2-2-bclt,8231,part2-2-2-mathsat,8499,part2-2-3-bclt,11775,part2-3-2-bclt,8784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,269,part1-3-1-bclt,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AlternDiv.c,part1-1-2-bclt,250,part1-1-2-z3,691,part1-1-2-mathsat,255,part1-1-3-bclt,395,part1-1-3-z3,22417,part1-1-3-mathsat,361,part1-2-2-bclt,486,part1-2-2-mathsat,505,part1-2-3-bclt,5288,part1-3-2-bclt,1605,part1-3-2-mathsat,19236,part2-2-1-bclt,5835,part2-2-1-z3,6757,part2-2-2-bclt,6063,part2-2-3-bclt,10476,part2-3-1-bclt,5296,part2-3-1-z3,7886,part2-3-1-mathsat,9064,part2-3-2-bclt,6807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,250,part1-1-2-bclt,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AlternDivWide.c,part2-2-2-bclt,8156,part2-3-1-bclt,5780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78,5780,part2-3-1-bclt,linear,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AlternDivWidening.c,part2-2-1-z3,8220,part2-2-2-bclt,12369,part2-3-1-bclt,6619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.619,6619,part2-3-1-bclt,linear,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
AlternKonv.c,part1-2-2-bclt,1260,part1-2-2-mathsat,3170,part1-2-3-bclt,30461,part1-3-2-bclt,6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,1260,part1-2-2-bclt,linear,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Bangalore_false-termination.c,part1-2-1-bclt,215,part1-2-1-z3,841,part1-2-1-mathsat,251,part1-2-2-bclt,344,part1-2-2-z3,29055,part1-2-2-mathsat,459,part1-2-3-bclt,2783,part1-2-3-mathsat,4869,part1-3-1-bclt,262,part1-3-1-z3,5142,part1-3-1-mathsat,273,part1-3-2-bclt,961,part1-3-2-mathsat,1845,part1-3-3-bclt,28607,part2-1-2-bclt,5637,part2-1-2-z3,13434,part2-1-3-bclt,5893,part2-1-3-z3,32533,part2-2-2-bclt,6936,part2-2-3-bclt,15608,part2-3-2-bclt,9398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,215,part1-2-1-bclt,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Bangalore_v2_false-termination.c,part1-2-1-bclt,302,part1-2-1-z3,4714,part1-2-1-mathsat,257,part1-2-2-bclt,260,part1-2-2-z3,33124,part1-2-2-mathsat,1325,part1-2-3-bclt,3021,part1-2-3-mathsat,9297,part1-3-1-bclt,258,part1-3-1-z3,11355,part1-3-1-mathsat,341,part1-3-2-bclt,973,part1-3-2-mathsat,2018,part1-3-3-bclt,41648,part2-2-2-bclt,5789,part2-3-2-bclt,9001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257,257,part1-2-1-mathsat,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Bangalore_v3_false-termination.c,part1-2-1-bclt,268,part1-2-1-z3,4658,part1-2-1-mathsat,264,part1-2-2-bclt,392,part1-2-2-z3,33074,part1-2-2-mathsat,462,part1-2-3-bclt,3492,part1-2-3-mathsat,2773,part1-3-1-bclt,256,part1-3-1-z3,10504,part1-3-1-mathsat,354,part1-3-2-bclt,673,part1-3-2-mathsat,9865,part1-3-3-bclt,40818,part2-1-2-bclt,5363,part2-1-2-z3,13918,part2-1-3-bclt,6269,part2-1-3-z3,36712,part2-2-2-bclt,8669,part2-2-3-bclt,16739,part2-3-2-bclt,7610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256,256,part1-3-1-bclt,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c,part1-2-1-bclt,313,part1-2-1-z3,9555,part1-2-1-mathsat,316,part1-2-2-bclt,1378,part1-2-2-mathsat,6797,part1-3-1-bclt,381,part1-3-1-z3,20358,part1-3-1-mathsat,634,part1-3-2-bclt,7328,part2-1-3-bclt,7498,part2-2-2-bclt,8487,part2-2-3-bclt,54238,part2-3-2-bclt,20445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313,313,part1-2-1-bclt,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Cairo_nondet_false-termination.c,part1-1-1-bclt,270,part1-1-1-z3,385,part1-1-1-mathsat,241,part1-1-2-bclt,268,part1-1-2-z3,976,part1-1-2-mathsat,242,part1-1-3-bclt,327,part1-1-3-z3,17895,part1-1-3-mathsat,460,part1-2-1-bclt,253,part1-2-1-z3,930,part1-2-1-mathsat,306,part1-2-2-bclt,697,part1-2-2-mathsat,2223,part1-2-3-bclt,11822,part1-2-3-mathsat,20987,part1-3-1-bclt,299,part1-3-1-z3,4035,part1-3-1-mathsat,352,part1-3-2-bclt,3027,part2-1-1-bclt,5007,part2-1-1-z3,5063,part2-1-1-mathsat,11694,part2-1-2-bclt,6044,part2-1-2-z3,15768,part2-1-3-bclt,5777,part2-2-1-bclt,5295,part2-2-1-z3,6859,part2-2-1-mathsat,34289,part2-2-2-bclt,6784,part2-2-3-bclt,25219,part2-3-1-bclt,5585,part2-3-1-z3,9526,part2-3-1-mathsat,48526,part2-3-2-bclt,18624,,,,,,,,,,,,,,,0.241,241,part1-1-1-mathsat,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Cairo_step2_false-termination.c,part1-2-2-bclt,388,part1-2-2-mathsat,724,part1-2-3-bclt,1662,part1-2-3-mathsat,11464,part1-3-2-bclt,623,part1-3-2-mathsat,951,part1-3-3-bclt,16679,part2-1-1-bclt,5547,part2-1-1-z3,5578,part2-1-1-mathsat,11650,part2-1-2-bclt,5651,part2-1-2-z3,6518,part2-1-3-bclt,6475,part2-2-1-bclt,5341,part2-2-1-z3,6496,part2-2-1-mathsat,8991,part2-2-2-bclt,7904,part2-2-3-bclt,10014,part2-3-1-bclt,5684,part2-3-1-z3,13259,part2-3-1-mathsat,7479,part2-3-3-bclt,29169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.388,388,part1-2-2-bclt,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c,part1-1-1-bclt,291,part1-1-1-z3,383,part1-1-1-mathsat,228,part1-1-2-bclt,249,part1-1-2-z3,475,part1-1-2-mathsat,232,part1-1-3-bclt,316,part1-1-3-z3,5790,part1-1-3-mathsat,344,part1-2-1-bclt,271,part1-2-1-z3,916,part1-2-1-mathsat,259,part1-2-2-bclt,445,part1-2-2-z3,28195,part1-2-2-mathsat,990,part1-2-3-bclt,7715,part1-3-1-bclt,262,part1-3-1-z3,3552,part1-3-1-mathsat,339,part1-3-2-bclt,3012,part1-3-2-mathsat,4630,part2-1-1-bclt,5430,part2-1-1-z3,5394,part2-1-1-mathsat,19975,part2-1-2-bclt,5528,part2-1-2-z3,11825,part2-1-3-bclt,6400,part2-1-3-z3,55524,part2-2-1-bclt,5344,part2-2-1-z3,5706,part2-2-1-mathsat,38562,part2-2-2-bclt,6652,part2-2-3-bclt,18892,part2-3-1-bclt,5867,part2-3-1-z3,10350,part2-3-2-bclt,8879,,,,,,,,,,,,,0.228,228,part1-1-1-mathsat,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c,part1-2-1-bclt,225,part1-2-1-z3,406,part1-2-1-mathsat,240,part1-2-2-bclt,341,part1-2-2-z3,40185,part1-2-2-mathsat,685,part1-2-3-bclt,4451,part1-2-3-mathsat,8054,part1-3-1-bclt,254,part1-3-1-z3,15544,part1-3-1-mathsat,575,part1-3-2-bclt,1102,part1-3-2-mathsat,3348,part1-3-3-bclt,56277,part2-1-2-bclt,5779,part2-1-2-z3,10061,part2-1-2-mathsat,5290,part2-1-3-bclt,5558,part2-1-3-z3,13039,part2-2-2-bclt,6920,part2-2-2-mathsat,6885,part2-2-3-bclt,19575,part2-3-2-bclt,10741,part2-3-2-mathsat,20262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225,225,part1-2-1-bclt,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c,part1-3-1-bclt,264,part1-3-1-z3,8233,part1-3-1-mathsat,1432,part1-3-2-bclt,1588,part1-3-2-mathsat,36801,part1-3-3-bclt,30844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264,264,part1-3-1-bclt,linear,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c,part1-3-1-bclt,228,part1-3-1-z3,7761,part1-3-1-mathsat,767,part1-3-2-bclt,866,part1-3-2-mathsat,37096,part1-3-3-bclt,36091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228,228,part1-3-1-bclt,linear,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c,part1-3-1-bclt,16932,part1-3-1-mathsat,1284,part1-3-2-bclt,11917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.284,1284,part1-3-1-mathsat,linear,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c,part1-2-1-bclt,241,part1-2-1-z3,1634,part1-2-1-mathsat,219,part1-2-2-bclt,349,part1-2-2-z3,23499,part1-2-2-mathsat,606,part1-2-3-bclt,2893,part1-2-3-mathsat,8134,part1-3-1-bclt,248,part1-3-1-z3,3206,part1-3-1-mathsat,409,part1-3-2-bclt,948,part1-3-2-mathsat,2116,part1-3-3-bclt,40184,part2-1-2-bclt,6259,part2-1-2-z3,10895,part2-1-2-mathsat,6742,part2-1-3-bclt,5253,part2-1-3-z3,39935,part2-2-2-bclt,7961,part2-2-3-bclt,13659,part2-3-2-bclt,12377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219,219,part1-2-1-mathsat,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c,part1-2-1-bclt,210,part1-2-1-z3,13178,part1-2-1-mathsat,334,part1-2-2-bclt,366,part1-2-2-z3,53322,part1-2-2-mathsat,980,part1-2-3-bclt,2091,part1-2-3-mathsat,6360,part1-3-1-bclt,235,part1-3-1-z3,45314,part1-3-1-mathsat,1222,part1-3-2-bclt,1130,part1-3-2-mathsat,10171,part1-3-3-bclt,21612,part2-1-2-z3,6487,part2-1-2-mathsat,5806,part2-1-3-bclt,6285,part2-1-3-z3,54497,part2-2-2-bclt,24602,part2-2-2-mathsat,8948,part2-2-3-bclt,53532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,210,part1-2-1-bclt,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-termination.c,part1-3-1-bclt,4337,part1-3-1-mathsat,535,part1-3-2-bclt,8323,part1-3-2-mathsat,7631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,535,part1-3-1-mathsat,linear,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c,part1-3-1-bclt,2140,part1-3-1-z3,27013,part1-3-1-mathsat,4412,part1-3-2-bclt,13143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,2140,part1-3-1-bclt,linear,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Choose.c,part1-1-1-z3,455,part1-1-1-mathsat,217,part1-1-2-z3,1091,part1-1-2-mathsat,232,part1-1-3-bclt,1564,part1-1-3-z3,48083,part1-1-3-mathsat,363,part1-2-1-z3,5441,part1-2-1-mathsat,241,part1-2-2-mathsat,519,part1-2-3-mathsat,3359,part1-3-1-mathsat,313,part1-3-2-mathsat,2834,part2-1-1-z3,5280,part2-1-1-mathsat,4777,part2-2-1-z3,5479,part2-2-1-mathsat,4511,part2-3-1-z3,21711,part2-3-1-mathsat,4449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217,217,part1-1-1-mathsat,linear,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ChooseLife.c,part1-2-1-bclt,323,part1-2-1-mathsat,5594,part1-2-2-bclt,6824,part1-3-1-bclt,1605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323,323,part1-2-1-bclt,linear,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
